"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9642","Navigate from DD homepage","","Mon Sep 08 17:05:56 WAT 2025","passed","Mon Sep 08 17:06:06 WAT 2025","","NAVIGATION","NAVIGATION","Navigate from DD homepage"
"","2086","Pricing Button","","Mon Sep 08 17:07:49 WAT 2025","passed","Mon Sep 08 17:07:51 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","Pricing Button"
"","2681","Privacy","","Mon Sep 08 17:08:02 WAT 2025","passed","Mon Sep 08 17:08:05 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","Privacy"
"","1382","Twitter","","Mon Sep 08 17:07:58 WAT 2025","passed","Mon Sep 08 17:08:00 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","Twitter"
"","2437","FAQs","","Mon Sep 08 17:08:09 WAT 2025","passed","Mon Sep 08 17:08:11 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","FAQs"
"","1286","Copyright Year and Link","","Mon Sep 08 17:08:15 WAT 2025","passed","Mon Sep 08 17:08:16 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","Copyright Year and Link"
"","1466","Facebook","","Mon Sep 08 17:07:57 WAT 2025","passed","Mon Sep 08 17:07:58 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","Facebook"
"","51919","Page Responsiveness","","Mon Sep 08 17:08:50 WAT 2025","passed","Mon Sep 08 17:09:42 WAT 2025","","SIGN-UP PAGE","SIGN-UP PAGE","Page Responsiveness"
"","5135","About Button","","Mon Sep 08 17:07:44 WAT 2025","passed","Mon Sep 08 17:07:49 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","About Button"
"","5919","Home Button","","Mon Sep 08 17:07:38 WAT 2025","failed","Mon Sep 08 17:07:44 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","Home Button"
"","4637","Navigate with link","","Mon Sep 08 17:06:06 WAT 2025","passed","Mon Sep 08 17:06:10 WAT 2025","","NAVIGATION","NAVIGATION","Navigate with link"
"","53077","Page Responsiveness Portrait","","Mon Sep 08 17:06:45 WAT 2025","passed","Mon Sep 08 17:07:38 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","Page Responsiveness Portrait"
"","3865","Navigate to Sign-In","","Mon Sep 08 17:09:44 WAT 2025","passed","Mon Sep 08 17:09:48 WAT 2025","","SIGN-UP PAGE","SIGN-UP PAGE","Navigate to Sign-In"
"","1584","Get Started Button","","Mon Sep 08 17:07:54 WAT 2025","passed","Mon Sep 08 17:07:55 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","Get Started Button"
"","1856","Dental Professional","","Mon Sep 08 17:08:11 WAT 2025","passed","Mon Sep 08 17:08:13 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","Dental Professional"
"","8414","Sign-Up","","Mon Sep 08 17:09:48 WAT 2025","failed","Mon Sep 08 17:09:56 WAT 2025","","SIGN-UP PAGE","SIGN-UP PAGE","Sign-Up"
"","3718","About Us","","Mon Sep 08 17:08:05 WAT 2025","passed","Mon Sep 08 17:08:09 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","About Us"
"","2575","Terms of Use","","Mon Sep 08 17:08:00 WAT 2025","passed","Mon Sep 08 17:08:02 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","Terms of Use"
"","1736","FAQ","","Mon Sep 08 17:07:55 WAT 2025","passed","Mon Sep 08 17:07:57 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","FAQ"
"","1881","Compulsory Fields","","Mon Sep 08 17:09:42 WAT 2025","passed","Mon Sep 08 17:09:44 WAT 2025","","SIGN-UP PAGE","SIGN-UP PAGE","Compulsory Fields"
"","1753","Dental Office","","Mon Sep 08 17:08:13 WAT 2025","passed","Mon Sep 08 17:08:15 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","Dental Office"
"","2266","Become an Affiliate Button","","Mon Sep 08 17:07:51 WAT 2025","passed","Mon Sep 08 17:07:54 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","Become an Affiliate Button"
"","34563","Page Responsiveness Landscape","","Mon Sep 08 17:06:10 WAT 2025","passed","Mon Sep 08 17:06:45 WAT 2025","","OVERVIEW PAGE","OVERVIEW PAGE","Page Responsiveness Landscape"
